Longitude;Quadrant;R_tangent_kpc;V_orb_tangent;R_kpc;V_lsr;Dist_1_kpc;Dist_2_kpc
180.0;3;;;;-0.61;;
180.0;3;;;;6.3;;
185.0;3;;;11.57;5.09;3.08;
190.0;3;;;10.55;7.44;2.08;
190.0;3;;;9.36;3.5;0.87;
195.0;3;;;11.28;14.03;2.85;
195.0;3;;;10.33;10.1;1.89;
200.0;3;;;11.92;21.58;3.57;
200.0;3;;;9.83;10.2;1.41;
205.0;3;;;12.31;28.77;4.07;
205.0;3;;;10.66;18.87;2.34;
205.0;3;;;9.23;7.33;0.8;
210.0;3;;;13.74;41.96;5.71;
210.0;3;;;11.06;25.47;2.85;
210.0;3;;;9.41;10.63;1.03;
215.0;3;;;13.84;48.7;5.99;
215.0;3;;;10.84;27.27;2.72;
215.0;3;;;9.16;9.13;0.8;
220.0;3;;;14.32;57.45;6.72;
220.0;3;;;10.14;22.82;2.03;
220.0;3;;;8.96;7.3;0.59;
225.0;3;;;13.79;59.69;6.4;
225.0;3;;;11.12;36.61;3.34;
225.0;3;;;9.42;15.17;1.24;
225.0;3;;;8.61;1.98;0.15;
225.0;3;;;12.43;49.2;4.87;
230.0;3;;;14.48;69.58;7.47;
230.0;3;;;11.28;41.55;3.75;
230.0;3;;;9.65;20.12;1.66;
230.0;3;;;8.69;3.63;0.29;
235.0;3;;;11.76;49.95;4.6;
235.0;3;;;9.78;23.56;1.99;
235.0;3;;;8.52;0.48;0.04;
240.0;3;;;13.07;66.58;6.55;
240.0;3;;;9.52;20.42;1.79;
240.0;3;;;8.53;0.63;0.06;
245.0;3;;;12.51;63.94;6.27;
245.0;3;;;9.42;19.42;1.82;
245.0;3;;;8.53;0.7;0.07;
175.0;2;;;10.5;-3.65;2.0;
170.0;2;;;12.23;-11.65;3.77;
165.0;2;;;19.06;-31.54;10.72;
165.0;2;;;12.12;-17.0;3.71;
160.0;2;;;11.89;-21.43;3.54;
